event,year,level,category,author,title,url,video
2013-06-08,2013,Novice,Education,Kurt Grandis,Planning and Tending the Garden: The Future of Early Childhood Python Education,https://us.pycon.org/2013/schedule/presentation/96/,http://pyvideo.org/video/1797/planning-and-tending-the-garden-the-future-of-ea
2013-06-20,2013,Intermediate,Web Frameworks,Luke Sneeringer,Make More Responsive Web Applications with SocketIO and GEvent,https://us.pycon.org/2013/schedule/presentation/59/,http://pyvideo.org/video/1798/make-more-responsive-web-applications-with-socket
2013-06-08,2013,Novice,Documentation,James Bennett,Write the Docs,https://us.pycon.org/2013/schedule/presentation/113/,http://pyvideo.org/video/1795/write-the-docs
2013-06-20,2013,Intermediate,Best Practices/Patterns,Mike M?ller,Functional Programming with Python,https://us.pycon.org/2013/schedule/presentation/143/,http://pyvideo.org/video/1799/functional-programming-with-python
2013-06-20,2013,Experienced,Best Practices/Patterns,Gary Bernhardt,Boundaries,https://us.pycon.org/2013/schedule/presentation/61/,http://pyvideo.org/video/1670/boundaries
2013-06-20,2013,Intermediate,Science,Jonathan Foote,Python for Robotics and Hardware Control,https://us.pycon.org/2013/schedule/presentation/78/,http://pyvideo.org/video/1679/python-for-robotics-and-hardware-control
2013-06-08,2013,Novice,Community,Stephen McJohn,Python's Law,https://us.pycon.org/2013/schedule/presentation/131/,http://pyvideo.org/video/1675/pythons-law
2013-06-08,2013,Novice,Testing,Carl Meyer,Getting started with automated testing,https://us.pycon.org/2013/schedule/presentation/83/,http://pyvideo.org/video/1674/getting-started-with-automated-testing
2013-06-08,2013,Novice,Web Frameworks,Carlos de la Guardia,5 powerful pyramid features,https://us.pycon.org/2013/schedule/presentation/129/,http://pyvideo.org/video/1673/5-powerful-pyramid-features
2013-06-08,2013,Novice,Concurrency,Glyph,So Easy You Can Even Do It in JavaScript: Event-Driven Architecture for Regular Programmers,https://us.pycon.org/2013/schedule/presentation/120/,http://pyvideo.org/video/1681/so-easy-you-can-even-do-it-in-javascript-event-d
